date,adj close,close,high,low,open,volume,change
19871230,1005.1900024414062,1005.1900024414062,1005.1900024414062,1005.1900024414062,1005.1900024414062,0,0.0
19880104,956.489990234375,956.489990234375,956.489990234375,956.489990234375,956.489990234375,0,-4.844856404137388
19880105,996.0999755859375,996.0999755859375,996.0999755859375,996.0999755859375,996.0999755859375,0,4.141181377324887
19880106,1006.010009765625,1006.010009765625,1006.010009765625,1006.010009765625,1006.010009765625,0,0.9948834878605428
19880107,1014.469970703125,1014.469970703125,1014.469970703125,1014.469970703125,1014.469970703125,0,0.840942023973601
19880108,1026.68994140625,1026.68994140625,1026.68994140625,1026.68994140625,1026.68994140625,0,1.2045670208113979
19880111,987.52001953125,987.52001953125,987.52001953125,987.52001953125,987.52001953125,0,-3.8151656401103184
19880112,986.8900146484375,986.8900146484375,986.8900146484375,986.8900146484375,986.8900146484375,0,-0.06379666947020635
19880113,965.77001953125,965.77001953125,965.77001953125,965.77001953125,965.77001953125,0,-2.1400556094096412
19880114,974.4600219726562,974.4600219726562,974.4600219726562,974.4600219726562,974.4600219726562,0,0.899800394054906
19880115,952.4600219726562,952.4600219726562,952.4600219726562,952.4600219726562,952.4600219726562,0,-2.2576606021726953
19880118,1003.1300048828125,1003.1300048828125,1003.1300048828125,1003.1300048828125,1003.1300048828125,0,5.319906530587271
19880119,980.1799926757812,980.1799926757812,980.1799926757812,980.1799926757812,980.1799926757812,0,-2.287840269488528
19880120,960.4400024414062,960.4400024414062,960.4400024414062,960.4400024414062,960.4400024414062,0,-2.0139148301208443
19880121,949.239990234375,949.239990234375,949.239990234375,949.239990234375,949.239990234375,0,-1.1661334574321391
19880122,966.47998046875,966.47998046875,966.47998046875,966.47998046875,966.47998046875,0,1.8161887838415103
19880125,962.6300048828125,962.6300048828125,962.6300048828125,962.6300048828125,962.6300048828125,0,-0.39835026733510137
19880126,968.260009765625,968.260009765625,968.260009765625,968.260009765625,968.260009765625,0,0.5848565756578328
19880127,959.6699829101562,959.6699829101562,959.6699829101562,959.6699829101562,959.6699829101562,0,-0.8871611724982853
19880128,937.760009765625,937.760009765625,937.760009765625,937.760009765625,937.760009765625,0,-2.2830737164551307
19880129,936.0,936.0,936.0,936.0,936.0,0,-0.18768232248087546
19880201,951.5,951.5,951.5,951.5,951.5,0,1.6559829059829
19880202,955.6699829101562,955.6699829101562,955.6699829101562,955.6699829101562,955.6699829101562,0,0.43825359013729415
19880203,972.1900024414062,972.1900024414062,972.1900024414062,972.1900024414062,972.1900024414062,0,1.7286322503239138
19880204,990.219970703125,990.219970703125,990.219970703125,990.219970703125,990.219970703125,0,1.85457248237908
19880205,979.3800048828125,979.3800048828125,979.3800048828125,979.3800048828125,979.3800048828125,0,-1.0947028075605658
19880208,986.9500122070312,986.9500122070312,986.9500122070312,986.9500122070312,986.9500122070312,0,0.7729387251605768
19880209,983.3099975585938,983.3099975585938,983.3099975585938,983.3099975585938,983.3099975585938,0,-0.36881448942865935
19880210,997.1400146484375,997.1400146484375,997.1400146484375,997.1400146484375,997.1400146484375,0,1.406475793410178
19880211,1024.68994140625,1024.68994140625,1024.68994140625,1024.68994140625,1024.68994140625,0,2.7628945136181082
19880212,1033.489990234375,1033.489990234375,1033.489990234375,1033.489990234375,1033.489990234375,0,0.8588011331552847
19880215,1049.3499755859375,1049.3499755859375,1049.3499755859375,1049.3499755859375,1049.3499755859375,0,1.534604640724746
19880216,1055.77001953125,1055.77001953125,1055.77001953125,1055.77001953125,1055.77001953125,0,0.6118115113813882
19880217,1053.27001953125,1053.27001953125,1053.27001953125,1053.27001953125,1053.27001953125,0,-0.23679399431232317
19880218,1051.93994140625,1051.93994140625,1051.93994140625,1051.93994140625,1051.93994140625,0,-0.12628083020838066
19880219,1046.780029296875,1046.780029296875,1046.780029296875,1046.780029296875,1046.780029296875,0,-0.49051394535671866
19880222,1059.47998046875,1059.47998046875,1059.47998046875,1059.47998046875,1059.47998046875,0,1.213239727204729
19880223,1069.030029296875,1069.030029296875,1069.030029296875,1069.030029296875,1069.030029296875,0,0.9013902106861593
19880224,1069.9000244140625,1069.9000244140625,1069.9000244140625,1069.9000244140625,1069.9000244140625,0,0.08138172860865378
19880225,1091.5899658203125,1091.5899658203125,1091.5899658203125,1091.5899658203125,1091.5899658203125,0,2.027286747481716
19880226,1079.4000244140625,1079.4000244140625,1079.4000244140625,1079.4000244140625,1079.4000244140625,0,-1.116714314709688
19880229,1083.3399658203125,1083.3399658203125,1083.3399658203125,1083.3399658203125,1083.3399658203125,0,0.36501216575279827
19880301,1087.3199462890625,1087.3199462890625,1087.3199462890625,1087.3199462890625,1087.3199462890625,0,0.367380563287556
19880302,1080.43994140625,1080.43994140625,1080.43994140625,1080.43994140625,1080.43994140625,0,-0.6327488892568733
19880303,1082.239990234375,1082.239990234375,1082.239990234375,1082.239990234375,1082.239990234375,0,0.1666033214009266
