date,adj close,close,high,low,open,volume,change
19970702,1199.06103515625,1199.06103515625,1261.571044921875,1147.3310546875,1255.9090576171875,0,0.0
19970703,1150.623046875,1150.623046875,1194.676025390625,1149.93994140625,1194.676025390625,0,-4.039659938990347
19970704,1159.342041015625,1159.342041015625,1163.2490234375,1124.7760009765625,1138.9210205078125,0,0.7577628628511413
19970707,1096.8189697265625,1096.8189697265625,1163.447021484375,1085.572021484375,1161.70703125,0,-5.39297886879786
19970708,1109.666015625,1109.666015625,1115.4329833984375,1066.0439453125,1092.7989501953125,0,1.1713004837653695
19970709,1120.8409423828125,1120.8409423828125,1122.6739501953125,1104.0860595703125,1113.6409912109375,0,1.0070531673909588
19970710,1120.154052734375,1120.154052734375,1137.8690185546875,1115.2120361328125,1121.259033203125,0,-0.06128341876745491
19970711,1154.7939453125,1154.7939453125,1155.0560302734375,1114.39697265625,1116.4150390625,0,3.092422197961664
19970714,1200.114013671875,1200.114013671875,1201.2139892578125,1180.1910400390625,1189.4739990234375,0,3.924515585082222
19970716,1190.8260498046875,1190.8260498046875,1204.85498046875,1184.4449462890625,1201.594970703125,0,-0.7739234573863496
19970717,1197.2259521484375,1197.2259521484375,1203.5040283203125,1180.9339599609375,1188.2669677734375,0,0.5374338548270519
19970718,1209.8570556640625,1209.8570556640625,1210.43994140625,1191.2889404296875,1199.3990478515625,0,1.0550308814270437
19970721,1193.5250244140625,1193.5250244140625,1218.48095703125,1188.875,1215.8389892578125,0,-1.3499141219650679
19970722,1208.248046875,1208.248046875,1208.261962890625,1163.468017578125,1189.1180419921875,0,1.2335746766738653
19970723,1198.8609619140625,1198.8609619140625,1223.822998046875,1194.7030029296875,1219.0550537109375,0,-0.7769170399419378
19970724,1174.217041015625,1174.217041015625,1200.3089599609375,1172.366943359375,1194.7049560546875,0,-2.0556112577968855
19970725,1170.862060546875,1170.862060546875,1177.6529541015625,1158.135986328125,1166.5660400390625,0,-0.2857206420584846
19970728,1141.7769775390625,1141.7769775390625,1167.8800048828125,1138.4749755859375,1167.81298828125,0,-2.48407425501751
19970729,1153.22900390625,1153.22900390625,1161.1949462890625,1133.175048828125,1137.3189697265625,0,1.0030002874878985
19970730,1179.4210205078125,1179.4210205078125,1179.47802734375,1157.0040283203125,1157.0899658203125,0,2.2711895480294064
19970731,1189.760009765625,1189.760009765625,1192.199951171875,1179.7149658203125,1184.93701171875,0,0.8766156510726653
19970801,1192.8280029296875,1192.8280029296875,1194.031005859375,1182.2230224609375,1191.6510009765625,0,0.2578665561861371
19970804,1200.3330078125,1200.3330078125,1201.9200439453125,1188.676025390625,1196.2540283203125,0,0.6291774559600949
19970805,1196.2740478515625,1196.2740478515625,1207.22802734375,1193.696044921875,1203.3580322265625,0,-0.33815282380134093
19970806,1171.9410400390625,1171.9410400390625,1197.4449462890625,1170.2669677734375,1196.0350341796875,0,-2.0340663459347486
19970807,1199.239990234375,1199.239990234375,1199.239990234375,1161.6319580078125,1167.927001953125,0,2.32937914644602
19970808,1206.052978515625,1206.052978515625,1216.56103515625,1201.3580322265625,1205.9520263671875,0,0.568108830319991
19970811,1184.0830078125,1184.0830078125,1206.759033203125,1182.447021484375,1206.4560546875,0,-1.8216422573878122
19970812,1146.8089599609375,1146.8089599609375,1183.43603515625,1145.748046875,1177.260986328125,0,-3.147925238824545
19970813,1120.126953125,1120.126953125,1153.4949951171875,1118.2020263671875,1139.2459716796875,0,-2.3266304822772144
19970814,1168.113037109375,1168.113037109375,1168.3349609375,1120.2449951171875,1120.470947265625,0,4.283986190181421
19970815,1143.06396484375,1143.06396484375,1174.8819580078125,1133.8900146484375,1174.1829833984375,0,-2.1444048195551124
19970818,1134.634033203125,1134.634033203125,1139.60595703125,1116.14794921875,1139.60595703125,0,-0.7374855563553107
19970819,1132.905029296875,1132.905029296875,1143.2010498046875,1128.1090087890625,1134.616943359375,0,-0.15238428036297158
19970820,1144.6390380859375,1144.6390380859375,1144.64599609375,1133.741943359375,1135.050048828125,0,1.0357451406447726
19970821,1164.5450439453125,1164.5450439453125,1165.218017578125,1147.8160400390625,1148.386962890625,0,1.7390640365247068
19970822,1171.8330078125,1171.8330078125,1174.4859619140625,1156.8260498046875,1159.385986328125,0,0.6258206932465926
19970825,1184.095947265625,1184.095947265625,1184.333984375,1175.384033203125,1175.4449462890625,0,1.0464749986874633
19970826,1194.04296875,1194.04296875,1194.1309814453125,1181.2430419921875,1186.0689697265625,0,0.8400519828942299
19970827,1198.512939453125,1198.512939453125,1199.4739990234375,1188.3310546875,1195.427978515625,0,0.3743559335895874
19970828,1213.8919677734375,1213.8919677734375,1216.0760498046875,1194.675048828125,1201.0589599609375,0,1.2831758268150084
19970829,1221.06396484375,1221.06396484375,1223.071044921875,1209.47900390625,1214.31005859375,0,0.5908266353774172
19970901,1229.864990234375,1229.864990234375,1230.0660400390625,1219.1009521484375,1224.177001953125,0,0.7207669412921502
19970902,1226.302978515625,1226.302978515625,1232.6910400390625,1215.9219970703125,1228.4749755859375,0,-0.2896262392241278
19970903,1240.8199462890625,1240.8199462890625,1243.3260498046875,1223.4610595703125,1223.6209716796875,0,1.1837994384560346
19970904,1251.2979736328125,1251.2979736328125,1253.1529541015625,1245.6400146484375,1245.7750244140625,0,0.8444438191928416
19970905,1251.550048828125,1251.550048828125,1253.3499755859375,1241.217041015625,1250.60400390625,0,0.020145097380819266
19970908,1255.22900390625,1255.22900390625,1257.5489501953125,1245.7440185546875,1253.14501953125,0,0.2939518944184316
19970909,1231.0269775390625,1231.0269775390625,1257.927001953125,1230.4420166015625,1255.1810302734375,0,-1.9280964901122633
19970910,1256.041015625,1256.041015625,1256.041015625,1227.6429443359375,1230.426025390625,0,2.031965061882146
19970911,1242.7130126953125,1242.7130126953125,1264.489013671875,1236.113037109375,1260.51904296875,0,-1.061112078657367
19970912,1208.697021484375,1208.697021484375,1247.907958984375,1207.8310546875,1240.4959716796875,0,-2.737236261585485
19970915,1179.2860107421875,1179.2860107421875,1211.6839599609375,1175.947998046875,1205.9010009765625,0,-2.4332823047804375
19970916,1187.219970703125,1187.219970703125,1193.8470458984375,1181.1689453125,1182.7569580078125,0,0.6727765689295451
19970917,1167.5570068359375,1167.5570068359375,1191.2950439453125,1162.2430419921875,1188.885009765625,0,-1.656219096073852
19970918,1172.365966796875,1172.365966796875,1181.748046875,1164.64501953125,1169.6700439453125,0,0.4118822406770306
19970919,1184.52099609375,1184.52099609375,1185.0899658203125,1168.8690185546875,1174.76904296875,0,1.036794792848239
19970922,1103.9739990234375,1103.9739990234375,1185.0999755859375,1102.616943359375,1184.4930419921875,0,-6.799963642344553
19970923,1041.9649658203125,1041.9649658203125,1105.281982421875,1025.1300048828125,1096.18701171875,0,-5.616892540764318
19970924,1110.011962890625,1110.011962890625,1110.1070556640625,1064.6610107421875,1064.6610107421875,0,6.530641557294659
19970925,1117.010009765625,1117.010009765625,1130.1259765625,1106.2459716796875,1118.3690185546875,0,0.6304478788477397
19970926,1109.634033203125,1109.634033203125,1118.9410400390625,1094.4239501953125,1118.68994140625,0,-0.6603321812709284
19970929,1084.072021484375,1084.072021484375,1106.342041015625,1079.3399658203125,1106.342041015625,0,-2.3036434494498548
19970930,1097.383056640625,1097.383056640625,1100.385986328125,1083.2320556640625,1083.4139404296875,0,1.227873692194703
19971006,1098.9029541015625,1098.9029541015625,1105.4110107421875,1091.1519775390625,1100.699951171875,0,0.13850199816189956
19971007,1102.572998046875,1102.572998046875,1102.7120361328125,1087.0179443359375,1098.2939453125,0,0.3339734351986534
19971008,1134.8680419921875,1134.8680419921875,1140.93701171875,1116.7130126953125,1122.968017578125,0,2.929061749427997
19971009,1122.4659423828125,1122.4659423828125,1138.656982421875,1120.0880126953125,1134.5909423828125,0,-1.092823055234149
19971010,1130.7850341796875,1130.7850341796875,1131.5699462890625,1120.512939453125,1121.3380126953125,0,0.7411442505965926
19971013,1119.8170166015625,1119.8170166015625,1138.4010009765625,1117.3890380859375,1136.428955078125,0,-0.9699471824086925
19971014,1117.927978515625,1117.927978515625,1118.02197265625,1105.7039794921875,1116.2989501953125,0,-0.16869167533016816
19971015,1125.781982421875,1125.781982421875,1129.654052734375,1116.428955078125,1119.1080322265625,0,0.702550079896791
19971016,1150.3070068359375,1150.3070068359375,1151.39404296875,1131.39404296875,1131.4000244140625,0,2.1784879130239965
19971017,1176.489013671875,1176.489013671875,1180.218017578125,1153.89599609375,1155.4219970703125,0,2.2760886163733174
19971020,1187.3680419921875,1187.3680419921875,1191.0400390625,1173.5570068359375,1183.7440185546875,0,0.9247029248797389
19971021,1191.8699951171875,1191.8699951171875,1192.3399658203125,1179.573974609375,1190.4949951171875,0,0.37915397465528855
19971022,1177.52001953125,1177.52001953125,1203.0179443359375,1168.48095703125,1193.7010498046875,0,-1.2039883246265148
19971023,1173.364013671875,1173.364013671875,1186.0670166015625,1170.2320556640625,1178.9830322265625,0,-0.3529456646545581
19971024,1178.3060302734375,1178.3060302734375,1179.8050537109375,1164.06396484375,1172.884033203125,0,0.42118358360907493
19971027,1235.8270263671875,1235.8270263671875,1235.9449462890625,1183.64697265625,1183.64697265625,0,4.881668651089033
19971028,1177.9239501953125,1177.9239501953125,1241.8330078125,1172.8919677734375,1239.5849609375,0,-4.685370600939653
19971029,1184.0860595703125,1184.0860595703125,1188.7969970703125,1162.98095703125,1168.2249755859375,0,0.5231330404631196
19971030,1174.845947265625,1174.845947265625,1207.969970703125,1173.6490478515625,1189.2650146484375,0,-0.7803581699155071
19971031,1180.3929443359375,1180.3929443359375,1181.5059814453125,1158.7359619140625,1164.9129638671875,0,0.47214675960050023
19971103,1180.85400390625,1180.85400390625,1185.0689697265625,1176.5469970703125,1181.1619873046875,0,0.0390598378722018
19971104,1184.699951171875,1184.699951171875,1190.470947265625,1180.864990234375,1180.864990234375,0,0.32569202059717917
19971105,1194.0379638671875,1194.0379638671875,1194.6729736328125,1179.3509521484375,1186.094970703125,0,0.7882175301919814
19971106,1181.123046875,1181.123046875,1203.0860595703125,1179.58203125,1198.657958984375,0,-1.0816169487910865
19971107,1195.1409912109375,1195.1409912109375,1195.739990234375,1177.6319580078125,1181.7760009765625,0,1.186831835432045
